Date,Price,Open,High,Low,Volume,Chg%
4-Jan-12,"4,749.65","4,774.95","4,782.85","4,728.85",165.94M,-0.33%
3-Jan-12,"4,765.30","4,675.80","4,773.10","4,675.80",146.62M,2.77%
2-Jan-12,"4,636.75","4,640.20","4,645.95","4,588.05",108.46M,0.27%
30-Dec-11,"4,624.30","4,659.95","4,690.45","4,608.90",113.90M,-0.47%
29-Dec-11,"4,646.25","4,681.15","4,701.80","4,639.05",146.00M,-1.27%
28-Dec-11,"4,705.80","4,756.20","4,756.20","4,685.65",117.46M,-0.94%
27-Dec-11,"4,750.50","4,780.20","4,800.50","4,723.65",104.83M,-0.60%
26-Dec-11,"4,779.00","4,718.15","4,787.25","4,718.15",90.85M,1.38%
23-Dec-11,"4,714.00","4,763.20","4,763.45","4,693.20",141.98M,-0.42%
22-Dec-11,"4,733.85","4,636.90","4,740.60","4,632.95",170.79M,0.87%
21-Dec-11,"4,693.15","4,636.45","4,707.35","4,601.95",211.31M,3.28%
20-Dec-11,"4,544.20","4,635.80","4,637.25","4,531.15",195.30M,-1.49%
19-Dec-11,"4,613.10","4,623.15","4,623.15","4,555.90",176.45M,-0.83%
16-Dec-11,"4,651.60","4,752.50","4,818.85","4,628.20",202.06M,-2.00%
15-Dec-11,"4,746.35","4,712.80","4,768.65","4,673.85",200.32M,-0.35%
14-Dec-11,"4,763.25","4,788.70","4,839.55","4,750.40",176.25M,-0.78%
13-Dec-11,"4,800.60","4,733.60","4,824.70","4,728.50",181.04M,0.76%
12-Dec-11,"4,764.60","4,906.85","4,910.25","4,755.55",178.34M,-2.10%
9-Dec-11,"4,866.70","4,870.75","4,918.35","4,841.75",173.61M,-1.56%
8-Dec-11,"4,943.65","5,037.40","5,049.05","4,921.45",178.85M,-2.35%
7-Dec-11,"5,062.60","5,050.10","5,099.25","5,032.25",169.43M,0.47%
5-Dec-11,"5,039.15","5,036.50","5,055.40","5,002.55",137.25M,-0.22%
2-Dec-11,"5,050.15","4,940.85","5,062.55","4,918.40",180.19M,2.29%
1-Dec-11,"4,936.85","4,970.85","5,011.90","4,916.70",183.92M,2.17%
30-Nov-11,"4,832.05","4,766.15","4,851.55","4,754.80",282.22M,0.56%
29-Nov-11,"4,805.10","4,864.20","4,866.10","4,787.10",155.57M,-0.95%
28-Nov-11,"4,851.30","4,769.30","4,859.10","4,766.40",145.26M,3.00%
25-Nov-11,"4,710.05","4,731.30","4,767.30","4,693.10",162.84M,-0.98%
24-Nov-11,"4,756.45","4,707.55","4,771.10","4,639.10",213.36M,1.06%
23-Nov-11,"4,706.45","4,779.50","4,779.50","4,640.95",178.82M,-2.20%
22-Nov-11,"4,812.35","4,794.85","4,854.00","4,782.55",174.21M,0.71%
21-Nov-11,"4,778.35","4,873.80","4,873.80","4,764.80",154.12M,-2.60%
18-Nov-11,"4,905.80","4,899.15","4,915.90","4,837.95",192.27M,-0.59%
17-Nov-11,"4,934.75","5,027.10","5,036.80","4,919.45",149.24M,-1.90%
16-Nov-11,"5,030.45","5,059.10","5,065.20","4,989.50",161.41M,-0.75%
15-Nov-11,"5,068.50","5,131.20","5,158.75","5,052.85",149.59M,-1.55%
14-Nov-11,"5,148.35","5,217.35","5,228.90","5,140.55",134.45M,-0.40%
11-Nov-11,"5,168.85","5,159.75","5,198.60","5,142.25",168.51M,-1.00%
9-Nov-11,"5,221.05","5,309.70","5,317.50","5,211.75",146.43M,-1.29%
8-Nov-11,"5,289.35","5,292.25","5,304.25","5,252.00",120.65M,0.10%
4-Nov-11,"5,284.20","5,325.40","5,326.45","5,256.80",149.02M,0.35%
3-Nov-11,"5,265.75","5,241.55","5,281.60","5,201.85",160.28M,0.14%
2-Nov-11,"5,258.45","5,216.75","5,300.10","5,204.95",144.38M,0.01%
1-Nov-11,"5,257.95","5,278.60","5,310.85","5,238.30",152.49M,-1.29%
31-Oct-11,"5,326.60","5,358.90","5,360.25","5,314.60",149.48M,-0.64%
28-Oct-11,"5,360.70","5,341.90","5,399.70","5,322.80",246.08M,3.05%
26-Oct-11,"5,201.80","5,214.95","5,219.25","5,196.15",27.50M,0.20%
25-Oct-11,"5,191.60","5,137.90","5,211.00","5,085.55",221.08M,1.83%
24-Oct-11,"5,098.35","5,114.70","5,145.65","5,084.75",126.07M,0.96%
21-Oct-11,"5,049.95","5,106.60","5,120.75","5,037.95",109.89M,-0.82%
20-Oct-11,"5,091.90","5,086.55","5,099.00","5,033.95",119.33M,-0.92%
19-Oct-11,"5,139.15","5,080.45","5,148.05","5,075.30",117.47M,2.02%
