Date,Price,Open,High,Low,Volume,Chg%
19-Oct-17,"2,562.10","2,553.39","2,562.36","2,547.92",0,0.03%
18-Oct-17,"2,561.26","2,562.87","2,564.11","2,559.67",0,0.07%
17-Oct-17,"2,559.36","2,557.17","2,559.71","2,554.69",0,0.07%
16-Oct-17,"2,557.64","2,555.57","2,559.47","2,552.64",0,0.18%
13-Oct-17,"2,553.17","2,555.66","2,557.65","2,552.09",0,0.09%
12-Oct-17,"2,550.93","2,552.88","2,555.33","2,548.31",0,-0.17%
11-Oct-17,"2,555.24","2,550.62","2,555.24","2,547.95",0,0.18%
10-Oct-17,"2,550.64","2,549.99","2,555.23","2,544.86",0,0.23%
9-Oct-17,"2,544.73","2,551.39","2,551.82","2,541.60",0,-0.18%
6-Oct-17,"2,549.33","2,547.44","2,549.41","2,543.79",0,-0.11%
5-Oct-17,"2,552.07","2,540.86","2,552.51","2,540.02",0,0.56%
4-Oct-17,"2,537.74","2,533.48","2,540.53","2,531.80",0,0.12%
3-Oct-17,"2,534.58","2,530.34","2,535.13","2,528.85",0,0.22%
2-Oct-17,"2,529.12","2,521.20","2,529.23","2,520.40",0,0.39%
29-Sep-17,"2,519.36","2,509.96","2,519.44","2,507.99",0,0.37%
28-Sep-17,"2,510.06","2,503.41","2,510.81","2,502.93",0,0.12%
27-Sep-17,"2,507.04","2,503.30","2,511.75","2,495.91",0,0.41%
26-Sep-17,"2,496.84","2,501.04","2,503.51","2,495.12",0,0.01%
25-Sep-17,"2,496.66","2,499.39","2,502.54","2,488.03",0,-0.22%
22-Sep-17,"2,502.22","2,497.26","2,503.47","2,496.54",0,0.06%
21-Sep-17,"2,500.60","2,507.16","2,507.16","2,499.00",0,-0.30%
20-Sep-17,"2,508.24","2,506.84","2,508.85","2,496.67",0,0.06%
19-Sep-17,"2,506.65","2,506.29","2,507.84","2,503.19",0,0.11%
18-Sep-17,"2,503.87","2,502.51","2,508.32","2,499.92",0,0.15%
15-Sep-17,"2,500.23","2,495.67","2,500.23","2,493.16",0,0.18%
14-Sep-17,"2,495.62","2,494.56","2,498.43","2,491.35",0,-0.11%
13-Sep-17,"2,498.37","2,493.89","2,498.37","2,492.14",0,0.08%
12-Sep-17,"2,496.48","2,491.94","2,496.77","2,490.37",0,0.34%
11-Sep-17,"2,488.11","2,474.52","2,488.95","2,474.52",0,1.08%
